id,customer,date,amount,last_updated
4366,Costco,2025-04-02,1430,2025-04-02T00:18:00
9751,Costco,2025-04-02,1097,2025-04-02T07:30:00
7433,BestBuy,2025-04-02,1024,2025-04-02T23:25:00
6765,eBay,2025-04-02,1415,2025-04-02T22:51:00
1321,Amazon,2025-04-02,959,2025-04-02T23:20:00
5634,Costco,2025-04-02,1604,2025-04-02T08:55:00
3280,eBay,2025-04-03,756,2025-04-03T19:28:00
4136,Target,2025-04-03,1835,2025-04-03T15:23:00
6208,eBay,2025-04-03,447,2025-04-03T00:34:00
1571,Walmart,2025-04-03,1367,2025-04-03T18:28:00
6383,Walmart,2025-04-03,1259,2025-04-03T15:36:00
1757,Costco,2025-04-03,1612,2025-04-03T02:51:00
6207,eBay,2025-04-04,1950,2025-04-04T23:46:00
5793,Amazon,2025-04-04,1359,2025-04-04T02:09:00
2811,Walmart,2025-04-04,1197,2025-04-04T16:47:00
2227,BestBuy,2025-04-05,679,2025-04-05T05:49:00
6175,Amazon,2025-04-05,1612,2025-04-05T22:54:00
4209,Target,2025-04-05,1608,2025-04-05T05:47:00
9305,Amazon,2025-04-06,1754,2025-04-06T02:53:00
3647,Amazon,2025-04-06,1941,2025-04-06T06:15:00
4745,Amazon,2025-04-06,1920,2025-04-06T00:35:00
7031,Target,2025-04-06,1783,2025-04-06T14:31:00
5934,Costco,2025-04-06,1933,2025-04-06T14:38:00
3991,BestBuy,2025-04-07,1680,2025-04-07T23:15:00
5360,Costco,2025-04-07,447,2025-04-07T00:57:00
1697,eBay,2025-04-07,1150,2025-04-07T21:16:00
6039,eBay,2025-04-07,1510,2025-04-07T18:02:00
5151,Amazon,2025-04-07,1512,2025-04-07T10:23:00
1588,eBay,2025-04-07,1925,2025-04-07T17:01:00
2967,BestBuy,2025-04-08,498,2025-04-08T14:16:00
6417,Amazon,2025-04-08,682,2025-04-08T19:22:00
8580,eBay,2025-04-08,351,2025-04-08T12:29:00
8736,Amazon,2025-04-08,400,2025-04-08T07:17:00
3456,BestBuy,2025-04-08,649,2025-04-08T21:46:00
5783,Target,2025-04-08,1533,2025-04-08T10:00:00
7018,Amazon,2025-04-09,907,2025-04-09T02:27:00
7846,Amazon,2025-04-09,1742,2025-04-09T22:07:00
7130,Walmart,2025-04-09,1091,2025-04-09T00:13:00
8984,Walmart,2025-04-09,1503,2025-04-09T01:10:00
3452,Costco,2025-04-09,479,2025-04-09T00:10:00
6073,Amazon,2025-04-10,895,2025-04-10T14:55:00
5571,Target,2025-04-10,570,2025-04-10T04:58:00
9703,Walmart,2025-04-10,928,2025-04-10T21:09:00
4795,Target,2025-04-11,1138,2025-04-11T07:22:00
9094,Target,2025-04-11,1818,2025-04-11T22:15:00
1076,Walmart,2025-04-11,1786,2025-04-11T20:00:00
9208,Costco,2025-04-11,534,2025-04-11T17:45:00
6888,BestBuy,2025-04-11,426,2025-04-11T22:08:00
9119,Amazon,2025-04-11,1796,2025-04-11T03:23:00
5182,eBay,2025-04-12,1233,2025-04-12T02:16:00
8457,Costco,2025-04-12,1463,2025-04-12T05:57:00
8657,Walmart,2025-04-12,1528,2025-04-12T19:37:00
1187,eBay,2025-04-13,710,2025-04-13T04:07:00
4080,BestBuy,2025-04-13,1311,2025-04-13T01:49:00
8128,BestBuy,2025-04-13,1999,2025-04-13T13:21:00
4434,BestBuy,2025-04-14,1178,2025-04-14T11:45:00
2619,Walmart,2025-04-14,412,2025-04-14T00:37:00
2582,Target,2025-04-14,438,2025-04-14T09:44:00
3507,Amazon,2025-04-14,132,2025-04-14T01:20:00
3368,Walmart,2025-04-14,1200,2025-04-14T07:52:00
8669,Walmart,2025-04-15,1659,2025-04-15T17:55:00
8705,Amazon,2025-04-15,1226,2025-04-15T11:06:00
4931,Amazon,2025-04-15,1106,2025-04-15T11:32:00
4170,Walmart,2025-04-15,1340,2025-04-15T23:12:00
6412,BestBuy,2025-04-15,775,2025-04-15T10:51:00
7178,Target,2025-04-16,1542,2025-04-16T05:59:00
4151,Amazon,2025-04-16,965,2025-04-16T02:54:00
9416,eBay,2025-04-16,797,2025-04-16T12:54:00
4723,eBay,2025-04-16,1679,2025-04-16T16:44:00
7889,Amazon,2025-04-16,269,2025-04-16T13:09:00
1224,BestBuy,2025-04-16,1085,2025-04-16T19:40:00
7028,BestBuy,2025-04-17,909,2025-04-17T02:37:00
7514,BestBuy,2025-04-17,1765,2025-04-17T17:58:00
5224,Amazon,2025-04-17,1331,2025-04-17T05:49:00
6918,Walmart,2025-04-17,260,2025-04-17T00:31:00
8779,Costco,2025-04-18,1908,2025-04-18T19:13:00
5671,Target,2025-04-18,809,2025-04-18T03:57:00
8779,Amazon,2025-04-18,1784,2025-04-18T09:40:00
1213,eBay,2025-04-19,1615,2025-04-19T22:45:00
3892,eBay,2025-04-19,462,2025-04-19T01:39:00
9028,eBay,2025-04-19,248,2025-04-19T17:46:00
7083,BestBuy,2025-04-20,1757,2025-04-20T23:33:00
3416,Walmart,2025-04-20,884,2025-04-20T06:10:00
5637,Amazon,2025-04-20,184,2025-04-20T23:51:00
1405,BestBuy,2025-04-20,339,2025-04-20T03:24:00
7516,Costco,2025-04-20,549,2025-04-20T20:05:00
8755,Costco,2025-04-21,1924,2025-04-21T06:03:00
7611,Costco,2025-04-21,1795,2025-04-21T21:27:00
3620,Amazon,2025-04-21,1034,2025-04-21T13:41:00
9025,Amazon,2025-04-21,391,2025-04-21T07:31:00
4978,eBay,2025-04-22,513,2025-04-22T01:33:00
6503,Costco,2025-04-22,845,2025-04-22T08:50:00
1983,BestBuy,2025-04-22,1594,2025-04-22T23:17:00
4893,eBay,2025-04-22,1251,2025-04-22T13:05:00
1765,Costco,2025-04-22,1971,2025-04-22T06:09:00
4604,Costco,2025-04-22,453,2025-04-22T21:00:00
4435,Target,2025-04-23,1091,2025-04-23T05:09:00
6209,Costco,2025-04-23,148,2025-04-23T12:49:00
1960,eBay,2025-04-23,375,2025-04-23T16:37:00
3346,Costco,2025-04-23,855,2025-04-23T17:47:00
6714,Target,2025-04-23,1710,2025-04-23T04:31:00
1621,Amazon,2025-04-23,507,2025-04-23T22:47:00
1536,BestBuy,2025-04-24,1552,2025-04-24T01:44:00
4032,eBay,2025-04-24,1522,2025-04-24T13:25:00
3177,eBay,2025-04-24,784,2025-04-24T10:40:00
9151,Walmart,2025-04-25,691,2025-04-25T06:03:00
6987,Amazon,2025-04-25,193,2025-04-25T01:54:00
8892,Target,2025-04-25,1888,2025-04-25T20:48:00
4324,Costco,2025-04-25,749,2025-04-25T11:51:00
4180,BestBuy,2025-04-25,1014,2025-04-25T22:45:00
2712,eBay,2025-04-25,848,2025-04-25T10:52:00
6253,BestBuy,2025-04-26,1656,2025-04-26T01:36:00
9590,Target,2025-04-26,163,2025-04-26T15:48:00
6897,Costco,2025-04-26,1439,2025-04-26T20:44:00
9862,Amazon,2025-04-26,802,2025-04-26T19:26:00
5851,Amazon,2025-04-27,385,2025-04-27T21:16:00
2191,eBay,2025-04-27,136,2025-04-27T20:08:00
6902,Costco,2025-04-27,1188,2025-04-27T14:41:00
4944,Costco,2025-04-28,1854,2025-04-28T04:01:00
5167,Walmart,2025-04-28,1621,2025-04-28T21:08:00
8494,Walmart,2025-04-28,1942,2025-04-28T16:12:00
9586,eBay,2025-04-28,620,2025-04-28T02:17:00
3792,Amazon,2025-04-28,1406,2025-04-28T21:02:00
8525,Costco,2025-04-28,1356,2025-04-28T22:10:00
4547,Costco,2025-04-29,201,2025-04-29T20:14:00
3670,Costco,2025-04-29,128,2025-04-29T18:05:00
8900,BestBuy,2025-04-29,1867,2025-04-29T16:37:00
5485,Costco,2025-04-29,366,2025-04-29T12:43:00
3912,eBay,2025-04-29,183,2025-04-29T15:47:00
8685,Amazon,2025-04-29,888,2025-04-29T04:35:00
4730,Costco,2025-04-30,1555,2025-04-30T07:35:00
9941,Costco,2025-04-30,343,2025-04-30T11:40:00
6453,Walmart,2025-04-30,119,2025-04-30T06:33:00
2943,Target,2025-04-30,1734,2025-04-30T21:18:00
9791,Target,2025-04-30,381,2025-04-30T05:37:00
8196,Walmart,2025-05-01,903,2025-05-01T12:16:00
1007,BestBuy,2025-05-01,273,2025-05-01T06:15:00
6918,Costco,2025-05-01,489,2025-05-01T15:37:00
8470,eBay,2025-05-02,1985,2025-05-02T09:58:00
2746,Target,2025-05-02,884,2025-05-02T11:59:00
4444,Amazon,2025-05-02,845,2025-05-02T18:48:00
7553,eBay,2025-05-02,1918,2025-05-02T09:30:00
8430,Amazon,2025-05-02,1679,2025-05-02T20:33:00
9041,eBay,2025-05-02,715,2025-05-02T10:19:00
6350,Walmart,2025-05-03,963,2025-05-03T08:05:00
6712,Walmart,2025-05-03,1490,2025-05-03T17:20:00
9601,Target,2025-05-03,1188,2025-05-03T06:33:00
5011,Costco,2025-05-03,1458,2025-05-03T06:01:00
7991,BestBuy,2025-05-03,1263,2025-05-03T13:30:00
5316,BestBuy,2025-05-03,1116,2025-05-03T14:46:00
2267,Costco,2025-05-04,1269,2025-05-04T07:42:00
9778,Target,2025-05-04,1852,2025-05-04T06:52:00
8974,BestBuy,2025-05-04,898,2025-05-04T03:31:00
1050,Walmart,2025-05-04,1169,2025-05-04T06:27:00
5917,Amazon,2025-05-05,1088,2025-05-05T03:29:00
7165,BestBuy,2025-05-05,704,2025-05-05T17:18:00
8296,eBay,2025-05-05,1887,2025-05-05T19:27:00
7851,Costco,2025-05-06,294,2025-05-06T21:13:00
4118,eBay,2025-05-06,679,2025-05-06T05:40:00
8883,Costco,2025-05-06,572,2025-05-06T06:36:00
2289,Amazon,2025-05-06,1858,2025-05-06T01:32:00
6008,Amazon,2025-05-06,1766,2025-05-06T09:58:00
9977,Target,2025-05-06,728,2025-05-06T16:55:00
4404,Amazon,2025-05-07,660,2025-05-07T16:20:00
8149,Amazon,2025-05-07,187,2025-05-07T09:36:00
8591,Target,2025-05-07,1841,2025-05-07T21:15:00
9565,eBay,2025-05-07,961,2025-05-07T14:59:00
9501,Amazon,2025-05-08,610,2025-05-08T00:12:00
7546,Target,2025-05-08,335,2025-05-08T13:55:00
8683,Costco,2025-05-08,1881,2025-05-08T04:14:00
7521,Amazon,2025-05-08,968,2025-05-08T19:08:00
1348,Walmart,2025-05-08,1025,2025-05-08T04:39:00
6048,BestBuy,2025-05-09,1312,2025-05-09T13:51:00
6270,Costco,2025-05-09,685,2025-05-09T04:46:00
6165,eBay,2025-05-09,331,2025-05-09T21:02:00
1031,Costco,2025-05-09,467,2025-05-09T16:36:00
6684,Target,2025-05-09,1980,2025-05-09T16:21:00
8275,Costco,2025-05-10,776,2025-05-10T20:38:00
4894,eBay,2025-05-10,1103,2025-05-10T16:58:00
4705,Walmart,2025-05-10,901,2025-05-10T23:15:00
6637,Target,2025-05-10,183,2025-05-10T13:18:00
3269,Costco,2025-05-10,546,2025-05-10T04:14:00
1868,BestBuy,2025-05-10,1823,2025-05-10T12:32:00
9066,Walmart,2025-05-11,207,2025-05-11T04:41:00
7015,Target,2025-05-11,1585,2025-05-11T13:49:00
9398,Target,2025-05-11,559,2025-05-11T07:25:00
1879,Target,2025-05-11,1612,2025-05-11T00:59:00
7508,Walmart,2025-05-11,115,2025-05-11T04:10:00
3663,eBay,2025-05-11,1845,2025-05-11T12:41:00
3287,Walmart,2025-05-12,1187,2025-05-12T03:37:00
6804,Walmart,2025-05-12,528,2025-05-12T13:53:00
8716,Costco,2025-05-12,871,2025-05-12T15:15:00
1409,eBay,2025-05-12,1924,2025-05-12T05:43:00
9724,Costco,2025-05-12,638,2025-05-12T21:49:00
2815,Costco,2025-05-13,744,2025-05-13T21:48:00
1785,eBay,2025-05-13,802,2025-05-13T02:32:00
2875,Amazon,2025-05-13,113,2025-05-13T00:13:00
2902,eBay,2025-05-13,772,2025-05-13T00:29:00
2671,BestBuy,2025-05-14,1836,2025-05-14T22:54:00
3669,Costco,2025-05-14,330,2025-05-14T09:22:00
8637,Amazon,2025-05-14,335,2025-05-14T20:27:00
7203,Target,2025-05-14,1059,2025-05-14T13:05:00
5364,BestBuy,2025-05-14,1809,2025-05-14T12:50:00
5365,Walmart,2025-05-15,260,2025-05-15T00:14:00
1210,Target,2025-05-15,633,2025-05-15T08:59:00
6916,Amazon,2025-05-15,1582,2025-05-15T22:29:00
2398,Walmart,2025-05-15,1346,2025-05-15T05:17:00
5447,BestBuy,2025-05-16,281,2025-05-16T19:44:00
4077,eBay,2025-05-16,1838,2025-05-16T21:20:00
3233,Walmart,2025-05-16,605,2025-05-16T21:33:00
9104,BestBuy,2025-05-16,117,2025-05-16T19:42:00
1688,Costco,2025-05-17,1569,2025-05-17T05:25:00
4258,Target,2025-05-17,1498,2025-05-17T01:01:00
5517,Costco,2025-05-17,990,2025-05-17T01:03:00
6721,eBay,2025-05-18,1538,2025-05-18T03:47:00
7329,BestBuy,2025-05-18,562,2025-05-18T21:56:00
7884,BestBuy,2025-05-18,1249,2025-05-18T00:38:00
4394,Walmart,2025-05-19,1855,2025-05-19T18:05:00
2136,BestBuy,2025-05-19,230,2025-05-19T06:15:00
9931,BestBuy,2025-05-19,1322,2025-05-19T03:09:00
6278,eBay,2025-05-19,1245,2025-05-19T13:53:00
3913,eBay,2025-05-20,919,2025-05-20T22:44:00
1128,eBay,2025-05-20,398,2025-05-20T10:34:00
6003,eBay,2025-05-20,807,2025-05-20T14:22:00
1922,BestBuy,2025-05-21,239,2025-05-21T19:25:00
3807,Costco,2025-05-21,834,2025-05-21T04:44:00
2992,Walmart,2025-05-21,1325,2025-05-21T12:05:00
8240,Target,2025-05-21,335,2025-05-21T05:56:00
4939,Walmart,2025-05-22,1039,2025-05-22T12:30:00
3604,Target,2025-05-22,627,2025-05-22T21:37:00
2942,BestBuy,2025-05-22,1192,2025-05-22T12:16:00
2611,Walmart,2025-05-22,623,2025-05-22T21:55:00
5576,Target,2025-05-22,238,2025-05-22T06:09:00
3920,BestBuy,2025-05-22,1979,2025-05-22T06:23:00
1907,Walmart,2025-05-23,923,2025-05-23T01:00:00
3463,BestBuy,2025-05-23,1307,2025-05-23T13:10:00
4945,eBay,2025-05-23,270,2025-05-23T12:25:00
5943,Walmart,2025-05-23,249,2025-05-23T03:25:00
4692,Amazon,2025-05-23,438,2025-05-23T03:54:00
8076,eBay,2025-05-24,1624,2025-05-24T15:47:00
9544,eBay,2025-05-24,1560,2025-05-24T16:11:00
5848,Amazon,2025-05-24,664,2025-05-24T14:17:00
4469,Costco,2025-05-25,521,2025-05-25T17:52:00
8919,Target,2025-05-25,1589,2025-05-25T09:04:00
7658,Amazon,2025-05-25,1972,2025-05-25T02:59:00
7886,BestBuy,2025-05-25,1450,2025-05-25T14:21:00
8022,Walmart,2025-05-25,194,2025-05-25T15:42:00
4313,Walmart,2025-05-26,515,2025-05-26T13:29:00
5647,Costco,2025-05-26,1237,2025-05-26T23:47:00
7168,Amazon,2025-05-26,246,2025-05-26T09:03:00
5621,Target,2025-05-26,153,2025-05-26T00:51:00
8296,eBay,2025-05-26,380,2025-05-26T10:03:00
6877,Costco,2025-05-27,721,2025-05-27T07:38:00
2862,BestBuy,2025-05-27,132,2025-05-27T01:03:00
9993,Target,2025-05-27,1383,2025-05-27T12:02:00
5814,Walmart,2025-05-27,1572,2025-05-27T20:06:00
5951,Walmart,2025-05-27,250,2025-05-27T15:27:00
5617,Walmart,2025-05-28,656,2025-05-28T01:37:00
3840,eBay,2025-05-28,257,2025-05-28T02:24:00
4927,eBay,2025-05-28,1869,2025-05-28T10:52:00
6566,BestBuy,2025-05-29,657,2025-05-29T06:30:00
7392,Target,2025-05-29,308,2025-05-29T03:26:00
9097,BestBuy,2025-05-29,514,2025-05-29T22:43:00
4207,Amazon,2025-05-29,1047,2025-05-29T08:42:00
8973,BestBuy,2025-05-29,113,2025-05-29T11:18:00
6418,Costco,2025-05-29,688,2025-05-29T11:33:00
1615,eBay,2025-05-30,829,2025-05-30T19:47:00
9782,Walmart,2025-05-30,536,2025-05-30T17:23:00
4962,Walmart,2025-05-30,487,2025-05-30T15:20:00
8893,Walmart,2025-05-30,1302,2025-05-30T02:52:00
5064,eBay,2025-05-30,1059,2025-05-30T23:20:00
4422,Walmart,2025-05-31,354,2025-05-31T07:29:00
6767,eBay,2025-05-31,1905,2025-05-31T12:49:00
3273,BestBuy,2025-05-31,1715,2025-05-31T09:09:00
